City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Merauke,ID,-8.4667,140.3333,79.32,85,75,3.98,broken clouds
311,Mosalsk,RU,54.4881,34.9817,50.74,93,100,8.19,light rain
312,Quesnel,CA,52.9999,-122.5029,46.9,57,100,0.0,overcast clouds
313,Mont-Dore,NC,-22.2833,166.5833,73.99,99,99,10.02,overcast clouds
314,Vanimo,PG,-2.6741,141.3028,78.03,89,100,5.03,overcast clouds
315,Ostrovnoy,RU,68.0531,39.5131,34.23,98,100,3.15,overcast clouds
316,Vardo,NO,70.3705,31.1107,31.98,80,40,9.22,scattered clouds
317,Portland,US,45.5234,-122.6762,55.36,88,100,6.91,overcast clouds
318,Cayenne,GF,4.9333,-52.3333,86.04,1,20,14.97,few clouds
319,Ulladulla,AU,-35.35,150.4667,56.77,89,96,5.14,overcast clouds
320,Chapais,CA,49.7834,-74.8492,38.98,95,100,12.17,overcast clouds
321,Salina Cruz,MX,16.1667,-95.2,87.76,57,4,9.89,clear sky
322,Honningsvag,NO,70.9821,25.9704,31.75,80,100,18.41,light shower snow
323,Cabanas,CU,22.9758,-82.9219,84.38,55,4,12.44,light rain
324,Pevek,RU,69.7008,170.3133,0.0,94,94,2.91,overcast clouds
325,Urucara,BR,-2.5364,-57.76,89.6,55,62,5.61,broken clouds
326,Pingzhuang,CN,42.0372,119.2889,64.02,27,37,12.71,scattered clouds
327,Keti Bandar,PK,24.1447,67.4497,82.53,73,0,13.56,clear sky
328,Sitka,US,57.0531,-135.33,44.49,76,20,0.0,few clouds
329,Rocha,UY,-34.4833,-54.3333,66.33,98,100,4.76,overcast clouds
330,Denpasar,ID,-8.65,115.2167,82.06,88,20,5.75,few clouds
331,Amapa,BR,1.0,-52.0,82.35,77,82,4.54,broken clouds
332,Lompoc,US,34.6391,-120.4579,76.78,65,0,4.61,clear sky
333,Ormara,PK,25.2088,64.6357,82.09,81,0,14.83,clear sky
334,Nevsehir,TR,38.9167,34.6667,69.01,20,0,8.05,clear sky
335,Tongren,CN,27.7172,109.1853,70.97,95,40,3.85,scattered clouds
336,Samarai,PG,-10.6167,150.6667,82.35,78,45,13.89,scattered clouds
337,Saint-Augustin,CA,51.226,-58.6502,39.72,97,98,9.89,overcast clouds
338,Mata,PT,40.683,-7.4592,66.92,50,87,5.86,overcast clouds
339,Marawi,PH,7.9986,124.2928,70.38,92,98,2.15,overcast clouds
